Player,Team,Team,GP,MIN,FG%,3P%,FT%,REB,AST,PTS
Luka Dončić,1610612742,DAL,70,37.5,0.487,0.382,0.786,9.2,9.8,33.9
Giannis Antetokounmpo,1610612749,MIL,73,35.2,0.611,0.274,0.657,11.5,6.5,30.4
Shai Gilgeous-Alexander,1610612760,OKC,75,34.0,0.535,0.353,0.874,5.5,6.2,30.1
Jalen Brunson,1610612752,NYK,77,35.4,0.479,0.401,0.847,3.6,6.7,28.7
Kevin Durant,1610612756,PHX,75,37.2,0.523,0.413,0.856,6.6,5.0,27.1
Devin Booker,1610612756,PHX,68,36.0,0.492,0.364,0.886,4.5,6.9,27.1
Jayson Tatum,1610612738,BOS,74,35.7,0.471,0.376,0.833,8.1,4.9,26.9
De'Aaron Fox,1610612758,SAC,74,35.9,0.465,0.369,0.738,4.6,5.6,26.6
Stephen Curry,1610612744,GSW,74,32.7,0.45,0.408,0.923,4.5,5.1,26.4
Nikola Jokić,1610612743,DEN,79,34.6,0.583,0.359,0.817,12.4,9.0,26.4
Tyrese Maxey,1610612755,PHI,70,37.5,0.45,0.373,0.868,3.7,6.2,25.9
Anthony Edwards,1610612750,MIN,79,35.1,0.461,0.357,0.836,5.4,5.1,25.9
LeBron James,1610612747,LAL,71,35.3,0.54,0.41,0.75,7.3,8.3,25.7
Kyrie Irving,1610612742,DAL,58,35.0,0.497,0.411,0.905,5.0,5.2,25.6
Anthony Davis,1610612747,LAL,76,35.5,0.556,0.271,0.816,12.6,3.5,24.7
Damian Lillard,1610612749,MIL,73,35.3,0.424,0.354,0.92,4.4,7.0,24.3
DeMar DeRozan,1610612741,CHI,79,37.8,0.48,0.333,0.853,4.3,5.3,24.0
Kawhi Leonard,1610612746,LAC,68,34.3,0.525,0.417,0.885,6.1,3.6,23.7
Jaylen Brown,1610612738,BOS,70,33.5,0.499,0.354,0.703,5.5,3.6,23.0
Zion Williamson,1610612740,NOP,70,31.5,0.57,0.333,0.702,5.8,5.0,22.9
